Variable,N,Mean,Std,Min,Median,Max
lev,42.0,0.24046492574554784,0.1082635746939989,0.08488248563243168,0.23894941507955306,0.49857139333023237
ltd_ratio,42.0,0.222758395290881,0.10223356343618262,0.07797595943572604,0.22566776154259766,0.45318440130820126
cost_debt,42.0,4.0024353947007,1.1348539478956454,1.9802594291832578,4.317509205384491,6.085592210706643
esg_high,42.0,0.35714285714285715,0.48496560458517246,0.0,0.0,1.0
post,42.0,1.0,0.0,1.0,1.0,1.0
ln_assets,42.0,24.910126430313507,0.7836430790784352,23.879309472781273,24.826917736237412,26.750682009577144
roa,42.0,0.10300304930628922,0.05418348112206585,0.0029870789880463884,0.09386687983341763,0.22959840986734956
tangibility,42.0,0.554369646385432,0.24005313008574827,0.13258141589306788,0.5731997753108249,0.939693871178016
mb,42.0,2.4112289375598235,0.7645402831229817,1.5835473262755513,2.3750362241332397,4.415662546523917
cash_ratio,42.0,0.05886097262423301,0.03644920824278721,0.0011331098693446045,0.06088336830438622,0.14744450063588577
